person,num_credits,potential_percent,def_percent,snl_percent,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Bill Hader,260,0.8346153846153846,0.18076923076923077,0.07307692307692308,2005.0,2013.0,8.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,https://www.imdb.com/name/nm0352778/?ref_=fn_nm_nm_1,4.0,161.0,6.0,0.118811158560742
Anthony Michael Hall,142,0.47183098591549294,0.035211267605633804,0.014084507042253521,1985.0,1986.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0001309/?ref_=fn_nm_nm_1,0.0,12.0,6.0,0.0927396238726666
Darrell Hammond,141,0.8439716312056738,0.3971631205673759,0.0425531914893617,1995.0,2009.0,14.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0358669/?ref_=fn_nm_nm_1,0.0,313.0,112.0,0.1473854023443872
Lauren Holt,3,0.6666666666666666,0.3333333333333333,0,2020.0,2021.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm7576527/?ref_=fn_nm_nm_1,0.0,20.0,0.0,0.0885829973666425
Jan Hooks,69,0.9565217391304348,0.6086956521739131,0.08695652173913043,1986.0,1991.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0393660/?ref_=fn_nm_nm_1,0.0,100.0,3.0,0.1079971336021066
Yvonne Hudson,1,1.0,1.0,0,1980.0,1981.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0399994/?ref_=fn_nm_nm_1,0.0,31.0,0.0,0.0899685395353172
Melanie Hutsell,45,0.7111111111111111,0.26666666666666666,0.044444444444444446,1991.0,1994.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0404525/?ref_=fn_nm_nm_1,0.0,53.0,2.0,0.0965887146263972
Victoria Jackson,154,0.538961038961039,0.2012987012987013,0.025974025974025976,1986.0,1992.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0414130/?ref_=fn_nm_nm_1,0.0,109.0,4.0,0.1102219710563724
Punkie Johnson,17,0.6470588235294118,0.11764705882352941,0,2020.0,2021.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm9790618/?ref_=fn_nm_nm_1,0.0,24.0,0.0,0.0890868308825243
Chris Kattan,176,0.7045454545454546,0.24431818181818182,0.03409090909090909,1996.0,2003.0,7.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,https://www.imdb.com/name/nm0441592/?ref_=fn_nm_nm_1,0.0,148.0,4.0,0.1283410347663103
Taran Killam,107,0.8598130841121495,0.22429906542056074,0.06542056074766354,2010.0,2016.0,6.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0453115/?ref_=fn_nm_nm_1,0.0,128.0,0.0,0.1108389845649522
David Koechner,290,0.6793103448275862,0.04482758620689655,0.02413793103448276,1995.0,1996.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0462712/?ref_=fn_nm_nm_1,0.0,21.0,0.0,0.093708955745613
Gary Kroeger,43,0.5116279069767442,0.09302325581395349,0,1982.0,1985.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0471856/?ref_=fn_nm_nm_1,0.0,56.0,1.0,0.1002725408403439
Matthew Laurance,41,0.24390243902439024,0.024390243902439025,0,1980.0,1981.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0491005/?ref_=fn_nm_nm_1,0.0,9.0,1.0,0.0872248374542658
Julia Louis-Dreyfus,235,0.8127659574468085,0.08936170212765958,0.059574468085106386,1982.0,1985.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,https://www.imdb.com/name/nm0000506/?ref_=fn_nm_nm_1,0.0,57.0,3.0,0.1004532637319102
Jon Lovitz,293,0.6996587030716723,0.13993174061433447,0.04436860068259386,1985.0,1990.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,https://www.imdb.com/name/nm0001484/?ref_=fn_nm_nm_1,0.0,91.0,10.0,0.1070551839854582
Michael McKean,353,0.6543909348441926,0.028328611898016998,0.0056657223796034,1994.0,1995.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0571106/?ref_=fn_nm_nm_1,0.0,27.0,3.0,0.1845468527883293
Mark McKinney,119,0.48739495798319327,0.15126050420168066,0.04201680672268908,1985.0,1997.0,12.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0571897/?ref_=fn_nm_nm_1,0.0,70.0,2.0,0.0441378084873342
Kate McKinnon,123,0.8617886178861789,0.25203252032520324,0.11382113821138211,2012.0,2021.0,10.0,0.0,0.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0571952/?ref_=fn_nm_nm_1,0.0,194.0,0.0,0.1240742233926033
Tim Meadows,205,0.848780487804878,0.2682926829268293,0.07317073170731707,1991.0,2000.0,10.0,1.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,https://www.imdb.com/name/nm0005218/?ref_=fn_nm_nm_1,20.0,183.0,7.0,0.1262899955722309
