relationship,count
"('Al Franken', 'Dave Attell')",13
"('Al Franken', 'Gilbert Gottfried')",24
"('Al Franken', 'Hannibal Buress')",11
"('Al Franken', 'Jim Breuer')",14
"('Al Franken', 'Louis C.K.')",21
"('Al Franken', 'Nimesh Patel')",5
"('Al Franken', 'Robert Downey Jr.')",23
"('Dan Aykroyd', 'Dave Attell')",10
"('Dan Aykroyd', 'Gilbert Gottfried')",22
"('Dan Aykroyd', 'Hannibal Buress')",12
"('Dan Aykroyd', 'Jim Breuer')",16
"('Dan Aykroyd', 'Louis C.K.')",18
"('Dan Aykroyd', 'Nimesh Patel')",4
"('Dave Attell', 'Gilbert Gottfried')",30
"('Dave Attell', 'Hannibal Buress')",16
"('Dave Attell', 'Jim Breuer')",17
"('Dave Attell', 'Louis C.K.')",23
"('Dave Attell', 'Nimesh Patel')",2
"('Dave Attell', 'Robert Downey Jr.')",11
"('Gilbert Gottfried', 'Jim Breuer')",16
"('Gilbert Gottfried', 'Louis C.K.')",25
"('Gilbert Gottfried', 'Nimesh Patel')",4
"('Gilbert Gottfried', 'Robert Downey Jr.')",20
"('Hannibal Buress', 'Jim Breuer')",9
"('Hannibal Buress', 'Louis C.K.')",16
"('Hannibal Buress', 'Nimesh Patel')",5
"('Hannibal Buress', 'Robert Downey Jr.')",14
"('Jim Breuer', 'Louis C.K.')",13
"('Jim Breuer', 'Nimesh Patel')",3
"('Jim Breuer', 'Robert Downey Jr.')",13
"('Louis C.K.', 'Nimesh Patel')",5
"('Louis C.K.', 'Robert Downey Jr.')",25
"('Nimesh Patel', 'Robert Downey Jr.')",4
"('Chris Rock', 'Dennis Miller')",39
"('Chris Rock', 'Jay Mohr')",29
"('Chris Rock', 'Jim Breuer')",22
"('Chris Rock', 'Joe Piscopo')",21
"('Dennis Miller', 'Jay Mohr')",26
"('Dennis Miller', 'Jim Breuer')",12
"('Dennis Miller', 'Stephen Colbert')",13
"('Jay Mohr', 'Jim Breuer')",19
"('Jay Mohr', 'Joe Piscopo')",10
"('Jay Mohr', 'Stephen Colbert')",16
"('Jim Breuer', 'Joe Piscopo')",9
"('Jim Breuer', 'Stephen Colbert')",12
"('Joe Piscopo', 'Stephen Colbert')",9
"('Finesse Mitchell', 'Jimmy Fallon')",14
"('Martin Short', 'Robert Downey Jr.')",42
"('Ben Stiller', 'Dan Aykroyd')",38
"('Ben Stiller', 'Morwenna Banks')",3
"('Ben Stiller', 'Pamela Stephenson')",5
"('Dan Aykroyd', 'Mike Myers')",57
"('Mike Myers', 'Morwenna Banks')",5
"('Mike Myers', 'Pamela Stephenson')",8
"('Mike Myers', 'Stephen Colbert')",31
"('Andy Breckman', 'Jon Lovitz')",9
"('Andy Breckman', 'Kevin Nealon')",7
"('Jon Lovitz', 'Kevin Nealon')",62
"('Finesse Mitchell', 'Hannibal Buress')",6
"('Finesse Mitchell', 'Rob Schneider')",10
"('Hannibal Buress', 'Rob Schneider')",13
"('Billy Crystal', 'Chevy Chase')",64
"('Billy Crystal', 'John Belushi')",23
"('Chevy Chase', 'John Belushi')",46
"('Brian Doyle-Murray', 'George Coe')",3
"('Heidi Gardner', 'Jimmy Fallon')",10
"('Heidi Gardner', 'Sarah Silverman')",9
"('Heidi Gardner', 'Stephen Colbert')",12
"('Jimmy Fallon', 'Sarah Silverman')",62
"('Cecily Strong', 'James Austin Johnson')",6
"('Jon Lovitz', 'Norm MacDonald')",39
"('Anthony Michael Hall', 'Ben Stiller')",17
"('Anthony Michael Hall', 'Bill Murray')",13
"('Anthony Michael Hall', 'Billy Crystal')",20
"('Anthony Michael Hall', 'Chevy Chase')",20
"('Anthony Michael Hall', 'Christine Ebersole')",5
"('Anthony Michael Hall', ""Conan O'Brien"")",14
"('Anthony Michael Hall', 'Dan Aykroyd')",15
"('Anthony Michael Hall', 'David Spade')",17
"('Anthony Michael Hall', 'Eddie Murphy')",17
"('Anthony Michael Hall', 'Jan Hooks')",5
"('Anthony Michael Hall', 'Jay Mohr')",11
"('Anthony Michael Hall', 'Jim Belushi')",18
"('Anthony Michael Hall', 'Julia Louis-Dreyfus')",17
"('Anthony Michael Hall', 'Laurie Metcalf')",10
"('Anthony Michael Hall', 'Martin Short')",19
"('Anthony Michael Hall', 'Rob Schneider')",16
"('Anthony Michael Hall', 'Robert Downey Jr.')",21
"('Ben Stiller', 'Bill Murray')",45
"('Ben Stiller', 'Chevy Chase')",38
"('Ben Stiller', 'Christine Ebersole')",10
"('Ben Stiller', ""Conan O'Brien"")",56
"('Ben Stiller', 'David Spade')",57
"('Ben Stiller', 'Jan Hooks')",8
"('Ben Stiller', 'Jay Mohr')",21
"('Ben Stiller', 'Jim Belushi')",35
"('Ben Stiller', 'Julia Louis-Dreyfus')",49
"('Ben Stiller', 'Laurie Metcalf')",24
"('Ben Stiller', 'Martin Short')",57
"('Ben Stiller', 'Rob Schneider')",42
"('Bill Murray', 'Billy Crystal')",44
"('Bill Murray', 'Chevy Chase')",60
"('Bill Murray', 'Christine Ebersole')",8
"('Bill Murray', ""Conan O'Brien"")",26
"('Bill Murray', 'David Spade')",36
"('Bill Murray', 'Eddie Murphy')",52
"('Bill Murray', 'Jan Hooks')",23
"('Bill Murray', 'Jay Mohr')",17
"('Bill Murray', 'Jim Belushi')",32
"('Bill Murray', 'Julia Louis-Dreyfus')",37
"('Bill Murray', 'Laurie Metcalf')",15
"('Bill Murray', 'Martin Short')",43
"('Bill Murray', 'Rob Schneider')",28
"('Bill Murray', 'Robert Downey Jr.')",45
"('Billy Crystal', 'Christine Ebersole')",10
"('Billy Crystal', ""Conan O'Brien"")",56
"('Billy Crystal', 'David Spade')",60
"('Billy Crystal', 'Eddie Murphy')",67
"('Billy Crystal', 'Jan Hooks')",15
"('Billy Crystal', 'Jay Mohr')",28
"('Billy Crystal', 'Jim Belushi')",50
"('Billy Crystal', 'Julia Louis-Dreyfus')",62
"('Billy Crystal', 'Laurie Metcalf')",29
"('Billy Crystal', 'Martin Short')",76
"('Billy Crystal', 'Rob Schneider')",36
"('Chevy Chase', 'Christine Ebersole')",8
"('Chevy Chase', ""Conan O'Brien"")",33
"('Chevy Chase', 'Dan Aykroyd')",88
"('Chevy Chase', 'David Spade')",42
"('Chevy Chase', 'Eddie Murphy')",47
"('Chevy Chase', 'Jan Hooks')",26
"('Chevy Chase', 'Jay Mohr')",24
"('Chevy Chase', 'Jim Belushi')",40
"('Chevy Chase', 'Julia Louis-Dreyfus')",35
"('Chevy Chase', 'Laurie Metcalf')",16
"('Chevy Chase', 'Martin Short')",59
"('Chevy Chase', 'Rob Schneider')",33
"('Chevy Chase', 'Robert Downey Jr.')",29
"('Christine Ebersole', ""Conan O'Brien"")",7
"('Christine Ebersole', 'Dan Aykroyd')",9
"('Christine Ebersole', 'David Spade')",7
"('Christine Ebersole', 'Eddie Murphy')",8
"('Christine Ebersole', 'Jan Hooks')",4
"('Christine Ebersole', 'Jay Mohr')",4
"('Christine Ebersole', 'Jim Belushi')",9
"('Christine Ebersole', 'Julia Louis-Dreyfus')",8
"('Christine Ebersole', 'Laurie Metcalf')",8
"('Christine Ebersole', 'Martin Short')",16
"('Christine Ebersole', 'Rob Schneider')",8
"('Christine Ebersole', 'Robert Downey Jr.')",7
"(""Conan O'Brien"", 'Dan Aykroyd')",35
"(""Conan O'Brien"", 'David Spade')",51
"(""Conan O'Brien"", 'Eddie Murphy')",34
"(""Conan O'Brien"", 'Jan Hooks')",16
"(""Conan O'Brien"", 'Jay Mohr')",27
"(""Conan O'Brien"", 'Julia Louis-Dreyfus')",56
"(""Conan O'Brien"", 'Laurie Metcalf')",14
"(""Conan O'Brien"", 'Martin Short')",54
"(""Conan O'Brien"", 'Rob Schneider')",32
"(""Conan O'Brien"", 'Robert Downey Jr.')",32
"('Dan Aykroyd', 'David Spade')",56
"('Dan Aykroyd', 'Eddie Murphy')",59
"('Dan Aykroyd', 'Jan Hooks')",29
"('Dan Aykroyd', 'Jay Mohr')",21
"('Dan Aykroyd', 'Jim Belushi')",50
"('Dan Aykroyd', 'Julia Louis-Dreyfus')",34
"('Dan Aykroyd', 'Laurie Metcalf')",16
"('Dan Aykroyd', 'Martin Short')",57
"('David Spade', 'Eddie Murphy')",49
"('David Spade', 'Jan Hooks')",24
"('David Spade', 'Jay Mohr')",31
"('David Spade', 'Jim Belushi')",32
"('David Spade', 'Julia Louis-Dreyfus')",42
"('David Spade', 'Laurie Metcalf')",18
"('David Spade', 'Martin Short')",53
"('David Spade', 'Rob Schneider')",70
"('David Spade', 'Robert Downey Jr.')",47
"('Eddie Murphy', 'Jan Hooks')",21
"('Eddie Murphy', 'Jay Mohr')",21
"('Eddie Murphy', 'Jim Belushi')",34
"('Eddie Murphy', 'Julia Louis-Dreyfus')",48
"('Eddie Murphy', 'Laurie Metcalf')",22
"('Eddie Murphy', 'Martin Short')",50
"('Eddie Murphy', 'Rob Schneider')",30
"('Jan Hooks', 'Jay Mohr')",15
"('Jan Hooks', 'Jim Belushi')",12
"('Jan Hooks', 'Julia Louis-Dreyfus')",14
"('Jan Hooks', 'Laurie Metcalf')",7
"('Jan Hooks', 'Martin Short')",22
