person,year_start,year_end,head_writer,imdb_link
Mike O'Brien,,,,https://www.imdb.com/name/nm0639735/?ref_=fn_nm_nm_2
Natasha Rothwell,,,,https://www.imdb.com/name/nm5625020/?ref_=fn_nm_nm_1
Nick Rutherford,,,,https://www.imdb.com/name/nm11485297/?ref_=fn_nm_nm_2
Meredith Scardino,,,,https://www.imdb.com/name/nm2227704/?ref_=fn_nm_nm_1
Streeter Seidell,,,,https://www.imdb.com/name/nm3289293/?ref_=fn_nm_nm_1
Chris Belair,,,,https://www.imdb.com/name/nm3677049/?ref_=fn_nm_nm_1
Megan Callahan-Shah,,,,https://www.imdb.com/name/nm4916386/?ref_=fn_nm_nm_1
Fran Gillespie,,,,https://www.imdb.com/name/nm5246001/?ref_=fn_nm_nm_1
Sudi Green,,,,https://www.imdb.com/name/nm6003622/?ref_=fn_nm_nm_1
Paul Masella,,,,https://www.imdb.com/name/nm3688724/?ref_=fn_nm_nm_1
Dave Sirus,,,,https://www.imdb.com/name/nm3461468/?ref_=fn_nm_nm_1
Will Stephen,,,,https://www.imdb.com/name/nm5560794/?ref_=fn_nm_nm_1
Kristen Bartlett,,,,https://www.imdb.com/name/nm4434455/?ref_=fn_nm_nm_1
Zack Bornstein,,,,https://www.imdb.com/name/nm4956526/?ref_=fn_nm_nm_1
Joanna Bradley,,,,https://www.imdb.com/name/nm5400395/?ref_=fn_nm_nm_1
Megan Callahan,,,,
Anna Drezen,,,y,https://www.imdb.com/name/nm4871432/?ref_=fn_nm_nm_1
Nick Kocher,,,,https://www.imdb.com/name/nm3304457/?ref_=fn_nm_nm_1
Michael Koman,,,,https://www.imdb.com/name/nm0464523/?ref_=fn_nm_nm_1
Brian McElhaney,,,,https://www.imdb.com/name/nm3537795/?ref_=fn_nm_nm_1
Drew Michael,,,,https://www.imdb.com/name/nm6569383/?ref_=fn_nm_nm_1
Katie Rich,,,,https://www.imdb.com/name/nm0723672/?ref_=fn_nm_nm_1
Julio Torres,,,,https://www.imdb.com/name/nm7088580/?ref_=fn_nm_nm_1
Steven Castillo,,,,https://www.imdb.com/name/nm9163311/?ref_=fn_nm_nm_1
Andrew Dismukes,,,,https://www.imdb.com/name/nm8608160/?ref_=fn_nm_nm_1
Claire Friedman,,,,https://www.imdb.com/name/nm8077083/?ref_=fn_nm_nm_1
Fran Gillespie,,,,https://www.imdb.com/name/nm5246001/?ref_=fn_nm_nm_1
Sudi Green,,,,https://www.imdb.com/name/nm6003622/?ref_=fn_nm_nm_1
Sam Jay,,,,https://www.imdb.com/name/nm7615637/?ref_=fn_nm_nm_1
Colin Jost ,,,,
Michael Koman,,,,https://www.imdb.com/name/nm0464523/?ref_=fn_nm_nm_1
Erik Marino,,,,https://www.imdb.com/name/nm0547765/?ref_=fn_nm_nm_1
Dennis McNicholas ,,,y,
Nimesh Patel ,,,,
Gary Richardson,,,,https://www.imdb.com/name/nm6324751/?ref_=fn_nm_nm_1
Streeter Seidell ,,,,
Megan Callahan,,,,
Alison Gates,,,,https://www.imdb.com/name/nm10384188/?ref_=fn_nm_nm_1
Alan Linic,,,,https://www.imdb.com/name/nm7860442/?ref_=fn_nm_nm_1
Eli Mandel,,,,https://www.imdb.com/name/nm5193958/?ref_=fn_nm_nm_2
Bowen Yang,,,,https://www.imdb.com/name/nm6299248/?ref_=fn_nm_nm_1
Dan Bulla,,,,https://www.imdb.com/name/nm4674057/?ref_=fn_nm_nm_1
Emma Clark,,,,https://www.imdb.com/name/nm8485344/?ref_=fn_nm_nm_1
Andrew Dismuskes,,,,
Dan Licata,,,,https://www.imdb.com/name/nm3915994/?ref_=fn_nm_nm_1
Jasmine Pierce,,,,https://www.imdb.com/name/nm5276392/?ref_=fn_nm_nm_1
Mark Steinbach,,,,https://www.imdb.com/name/nm9184163/?ref_=fn_nm_nm_2
Celeste Yim,,,,https://www.imdb.com/name/nm11940589/?ref_=fn_nm_nm_1
