Weight,Source,Target
15,Jim Belushi,Laurie Metcalf
47,Jim Belushi,Martin Short
29,Jim Belushi,Rob Schneider
24,Jim Belushi,Robert Downey Jr.
31,Julia Louis-Dreyfus,Laurie Metcalf
51,Julia Louis-Dreyfus,Martin Short
30,Julia Louis-Dreyfus,Rob Schneider
40,Julia Louis-Dreyfus,Robert Downey Jr.
10,Laurie Metcalf,Rob Schneider
18,Laurie Metcalf,Robert Downey Jr.
33,Martin Short,Rob Schneider
29,Adam Sandler,Christopher Guest
27,Adam Sandler,Gilbert Gottfried
30,Adam Sandler,Harry Shearer
56,Adam Sandler,Jason Sudeikis
31,Adam Sandler,Jim Belushi
13,Adam Sandler,Joe Piscopo
32,Adam Sandler,Kate McKinnon
39,Adam Sandler,Michael McKean
6,Adam Sandler,Natasha Rothwell
31,Ben Stiller,Christopher Guest
27,Ben Stiller,Gilbert Gottfried
27,Ben Stiller,Harry Shearer
35,Ben Stiller,Jason Sudeikis
9,Ben Stiller,Joe Piscopo
28,Ben Stiller,Kate McKinnon
39,Ben Stiller,Michael McKean
5,Ben Stiller,Natasha Rothwell
75,Billy Crystal,Chris Rock
45,Billy Crystal,Christopher Guest
32,Billy Crystal,Gilbert Gottfried
38,Billy Crystal,Jason Sudeikis
30,Billy Crystal,Joe Piscopo
24,Billy Crystal,Kate McKinnon
41,Billy Crystal,Michael McKean
5,Billy Crystal,Natasha Rothwell
30,Chris Rock,Christopher Guest
37,Chris Rock,Gilbert Gottfried
48,Chris Rock,Jason Sudeikis
30,Chris Rock,Jim Belushi
29,Chris Rock,Kate McKinnon
38,Chris Rock,Michael McKean
5,Chris Rock,Natasha Rothwell
17,Christopher Guest,Gilbert Gottfried
23,Christopher Guest,Jason Sudeikis
23,Christopher Guest,Jim Belushi
13,Christopher Guest,Joe Piscopo
11,Christopher Guest,Kate McKinnon
3,Christopher Guest,Natasha Rothwell
16,Christopher Guest,Stephen Colbert
19,Gilbert Gottfried,Harry Shearer
20,Gilbert Gottfried,Jason Sudeikis
23,Gilbert Gottfried,Jim Belushi
18,Gilbert Gottfried,Joe Piscopo
11,Gilbert Gottfried,Kate McKinnon
31,Gilbert Gottfried,Michael McKean
4,Gilbert Gottfried,Natasha Rothwell
28,Gilbert Gottfried,Stephen Colbert
23,Harry Shearer,Jason Sudeikis
21,Harry Shearer,Jim Belushi
13,Harry Shearer,Joe Piscopo
12,Harry Shearer,Kate McKinnon
3,Harry Shearer,Natasha Rothwell
24,Jason Sudeikis,Jim Belushi
10,Jason Sudeikis,Joe Piscopo
35,Jason Sudeikis,Kate McKinnon
29,Jason Sudeikis,Michael McKean
6,Jason Sudeikis,Natasha Rothwell
36,Jason Sudeikis,Stephen Colbert
17,Jim Belushi,Joe Piscopo
13,Jim Belushi,Kate McKinnon
35,Jim Belushi,Michael McKean
3,Jim Belushi,Natasha Rothwell
18,Jim Belushi,Stephen Colbert
6,Joe Piscopo,Kate McKinnon
11,Joe Piscopo,Michael McKean
2,Joe Piscopo,Natasha Rothwell
14,Kate McKinnon,Michael McKean
7,Kate McKinnon,Natasha Rothwell
32,Kate McKinnon,Stephen Colbert
6,Michael McKean,Natasha Rothwell
28,Michael McKean,Stephen Colbert
9,Natasha Rothwell,Stephen Colbert
61,Adam Sandler,Amy Poehler
43,Adam Sandler,Chevy Chase
30,Adam Sandler,Jane Curtin
57,Adam Sandler,Jon Lovitz
53,Adam Sandler,Martin Short
22,Adam Sandler,Paul Shaffer
96,Adam Sandler,Rob Schneider
74,Adam Sandler,Tina Fey
44,Al Franken,Chevy Chase
25,Al Franken,Jane Curtin
23,Al Franken,Jason Sudeikis
32,Al Franken,Jon Lovitz
42,Al Franken,Martin Short
31,Al Franken,Michael McKean
26,Al Franken,Paul Shaffer
26,Al Franken,Rob Schneider
31,Al Franken,Tina Fey
40,Al Franken,Will Ferrell
39,Amy Poehler,Chevy Chase
27,Amy Poehler,Harry Shearer
28,Amy Poehler,Jane Curtin
68,Amy Poehler,Jason Sudeikis
26,Amy Poehler,Jon Lovitz
41,Amy Poehler,Louis C.K.
54,Amy Poehler,Martin Short
26,Amy Poehler,Michael McKean
18,Amy Poehler,Paul Shaffer
28,Amy Poehler,Rob Schneider
104,Amy Poehler,Will Ferrell
28,Chevy Chase,Harry Shearer
51,Chevy Chase,Jane Curtin
29,Chevy Chase,Jason Sudeikis
41,Chevy Chase,Jon Lovitz
21,Chevy Chase,Louis C.K.
29,Chevy Chase,Michael McKean
31,Chevy Chase,Paul Shaffer
50,Chevy Chase,Tina Fey
47,Chevy Chase,Will Ferrell
25,Conan O'Brien,Harry Shearer
19,Conan O'Brien,Jane Curtin
29,Conan O'Brien,Jason Sudeikis
46,Conan O'Brien,Jon Lovitz
37,Conan O'Brien,Michael McKean
24,Conan O'Brien,Paul Shaffer
59,Conan O'Brien,Tina Fey
14,Harry Shearer,Jane Curtin
25,Harry Shearer,Jon Lovitz
23,Harry Shearer,Louis C.K.
42,Harry Shearer,Martin Short
25,Harry Shearer,Paul Shaffer
26,Harry Shearer,Tina Fey
23,Jane Curtin,Jason Sudeikis
24,Jane Curtin,Jon Lovitz
8,Jane Curtin,Louis C.K.
29,Jane Curtin,Martin Short
14,Jane Curtin,Michael McKean
26,Jane Curtin,Paul Shaffer
16,Jane Curtin,Rob Schneider
29,Jane Curtin,Tina Fey
32,Jane Curtin,Will Ferrell
24,Jason Sudeikis,Jon Lovitz
26,Jason Sudeikis,Louis C.K.
19,Jason Sudeikis,Paul Shaffer
26,Jason Sudeikis,Rob Schneider
56,Jason Sudeikis,Tina Fey
14,Jon Lovitz,Louis C.K.
45,Jon Lovitz,Martin Short
29,Jon Lovitz,Michael McKean
18,Jon Lovitz,Paul Shaffer
44,Jon Lovitz,Rob Schneider
29,Jon Lovitz,Tina Fey
41,Jon Lovitz,Will Ferrell
29,Louis C.K.,Martin Short
23,Louis C.K.,Michael McKean
18,Louis C.K.,Paul Shaffer
18,Louis C.K.,Rob Schneider
46,Louis C.K.,Tina Fey
41,Martin Short,Michael McKean
46,Martin Short,Paul Shaffer
64,Martin Short,Tina Fey
19,Michael McKean,Paul Shaffer
30,Michael McKean,Tina Fey
20,Paul Shaffer,Rob Schneider
22,Paul Shaffer,Tina Fey
29,Paul Shaffer,Will Ferrell
35,Rob Schneider,Tina Fey
63,Adam Sandler,Andy Samberg
119,Adam Sandler,David Spade
52,Adam Sandler,Kenan Thompson
56,Andy Samberg,Kenan Thompson
28,Andy Samberg,Rob Schneider
73,Andy Samberg,Will Ferrell
38,David Spade,Kenan Thompson
73,David Spade,Will Ferrell
25,Kenan Thompson,Rob Schneider
58,Kenan Thompson,Will Ferrell
5,David Koechner,Heather Anne Campbell
51,David Koechner,Will Ferrell
2,Heather Anne Campbell,Will Ferrell
3,David Mandel,Paula Pell
17,Al Franken,Andy Samberg
40,Al Franken,David Spade
37,Al Franken,Jimmy Fallon
4,Al Franken,Judith Belushi-Pisano
16,Al Franken,Kristen Wiig
47,Al Franken,Lorne Michaels
1,Al Franken,Peter Aykroyd
32,Al Franken,Phil Hartman
26,Al Franken,Seth Meyers
83,Amy Poehler,Andy Samberg
59,Amy Poehler,Ben Stiller
58,Amy Poehler,Chris Rock
46,Amy Poehler,Dan Aykroyd
47,Amy Poehler,David Spade
87,Amy Poehler,Jimmy Fallon
1,Amy Poehler,Judith Belushi-Pisano
76,Amy Poehler,Kristen Wiig
75,Amy Poehler,Lorne Michaels
1,Amy Poehler,Peter Aykroyd
26,Amy Poehler,Phil Hartman
41,Amy Poehler,Robert Downey Jr.
93,Amy Poehler,Seth Meyers
46,Andy Samberg,Ben Stiller
35,Andy Samberg,Conan O'Brien
32,Andy Samberg,Dan Aykroyd
77,Andy Samberg,Fred Armisen
60,Andy Samberg,Jimmy Fallon
1,Andy Samberg,Judith Belushi-Pisano
62,Andy Samberg,Kristen Wiig
48,Andy Samberg,Lorne Michaels
1,Andy Samberg,Peter Aykroyd
17,Andy Samberg,Phil Hartman
30,Andy Samberg,Robert Downey Jr.
37,Andy Samberg,Stephen Colbert
48,Ben Stiller,Fred Armisen
2,Ben Stiller,Judith Belushi-Pisano
51,Ben Stiller,Kristen Wiig
24,Ben Stiller,Lorne Michaels
1,Ben Stiller,Peter Aykroyd
