person,credit_type,year,title,imdb_link,episode_count,add_info,year_start,year_end,keep?
Fred Armisen,actor-tt0472181,2011,The Smurfs,https://www.imdb.com/title/tt0472181/,0,"2011

The Smurfs

Brainy (voice)",2011,0,keep_year
Fred Armisen,actor-tt1828357,2011,Your Pretty Face Is Going to Hell,https://www.imdb.com/title/tt1828357/,0,"2011

Your Pretty Face Is Going to Hell
(TV Movie)",2011,0,keep_year
Fred Armisen,actor-tt1287468,2010,Cats & Dogs: The Revenge of Kitty Galore,https://www.imdb.com/title/tt1287468/,0,"2010

Cats & Dogs: The Revenge of Kitty Galore

Freidrich",2010,0,keep_year
Fred Armisen,actor-tt0912343,2008-2010,"Tim and Eric Awesome Show, Great Job!",https://www.imdb.com/title/tt0912343/,2,"2008-2010

Tim and Eric Awesome Show, Great Job!
(TV Series)

Sal & Al's Customer / K.J. Nutt

- Man Milk
(2010)
... Sal & Al's Customer


- Pepperoni
(2008)
... K.J. Nutt",2008,2010,keep_year
Fred Armisen,actor-tt1616155,2010,Presidential Reunion,https://www.imdb.com/title/tt1616155/,0,"2010

Presidential Reunion
(Video short)

Barack Obama",2010,0,keep_year
Fred Armisen,actor-tt1266020,2009,Parks and Recreation,https://www.imdb.com/title/tt1266020/,1,"2009

Parks and Recreation
(TV Series)

Raul

- Sister City
(2009)
... Raul",2009,0,keep_year
Fred Armisen,actor-tt1093908,2009,Confessions of a Shopaholic,https://www.imdb.com/title/tt1093908/,0,"2009

Confessions of a Shopaholic

Ryan Koenig",2009,0,keep_year
Fred Armisen,actor-tt1542994,2008,Bang Blow & Stroke,https://www.imdb.com/title/tt1542994/,0,"2008

Bang Blow & Stroke
(Video short)

Kerr",2008,0,keep_year
Fred Armisen,actor-tt0363240,2008,Christmas on Mars,https://www.imdb.com/title/tt0363240/,0,"2008

Christmas on Mars

Noachis",2008,0,keep_year
Fred Armisen,actor-tt0871426,2008,Baby Mama,https://www.imdb.com/title/tt0871426/,0,"2008

Baby Mama

Stroller Salesman",2008,0,keep_year
Fred Armisen,actor-tt0803057,2008,The Promotion,https://www.imdb.com/title/tt0803057/,0,"2008

The Promotion

Scott Fargas",2008,0,keep_year
Fred Armisen,actor-tt0297494,2004-2008,Aqua Teen Hunger Force,https://www.imdb.com/title/tt0297494/,2,"2004-2008

Aqua Teen Hunger Force
(TV Series)

Robot Husband / Poncho

- Robots Everywhere
(2008)
... Robot Husband (voice)


- Hypno-Germ
(2004)
... Poncho (voice, as Loss Cat)",2004,2008,keep_year
Fred Armisen,actor-tt1188970,2007,Tim and Eric Nite Live,https://www.imdb.com/title/tt1188970/,1,"2007

Tim and Eric Nite Live
(TV Series)

Dr. Pat Gordon Hall

- Jay Leno/Slash
(2007)
... Dr. Pat Gordon Hall",2007,0,keep_year
Fred Armisen,actor-tt0458364,2006,The Ex,https://www.imdb.com/title/tt0458364/,0,"2006

The Ex

Manny",2006,0,keep_year
Fred Armisen,actor-tt0790604,2006,Deck the Halls,https://www.imdb.com/title/tt0790604/,0,"2006

Deck the Halls

Gustave",2006,0,keep_year
Fred Armisen,actor-tt0460812,2006,Griffin & Phoenix,https://www.imdb.com/title/tt0460812/,0,"2006

Griffin & Phoenix
(uncredited)",2006,0,keep_year
Fred Armisen,actor-tt0436460,2006,Kiss Me Again,https://www.imdb.com/title/tt0436460/,0,"2006

Kiss Me Again

Professor Szabo",2006,0,keep_year
Fred Armisen,actor-tt8984960,2004,EuroTrip: Deleted Scenes,https://www.imdb.com/title/tt8984960/,0,"2004

EuroTrip: Deleted Scenes
(Video short)

Creepy Italian Guy",2004,0,keep_year
Fred Armisen,actor-tt0423505,2004,"Wake Up, Ron Burgundy",https://www.imdb.com/title/tt0423505/,0,"2004

Wake Up, Ron Burgundy
(Video)

Tino",2004,0,keep_year
Fred Armisen,actor-tt0356150,2004,EuroTrip,https://www.imdb.com/title/tt0356150/,0,"2004

EuroTrip

Creepy Italian Guy",2004,0,keep_year
Fred Armisen,actor-tt0395151,2003,The Frank International Film Festival,https://www.imdb.com/title/tt0395151/,0,"2003

The Frank International Film Festival
(Video short)

Frank",2003,0,keep_year
Fred Armisen,writer-tt7721046,,Los Espookys,https://www.imdb.com/title/tt7721046/,6,"Los Espookys
(TV Series) (created by - 6 episodes, 2018 - 2019) (written by - 1 episode, 2018)


- El sueño falso (The Fake Dream)
(2019)
... (creator)


- El laboratorio alienigena (The Alien Lab)
(2019)
... (creator)


- El espejo maldito (The Cursed Mirror)
(2019)
... (creator)


- El monstruo marino (The Sea Monster)
(2019)
... (creator)


- El espanto de la herencia (The Inheritance Scare)
(2019)
... (creator)





Show all 6 episodes",0,0,keep_year
Fred Armisen,writer-tt1780441,,Portlandia,https://www.imdb.com/title/tt1780441/,6,"Portlandia
(TV Series) (written by - 76 episodes, 2011 - 2018) (creator - 59 episodes, 2011 - 2016)


- Rose Route
(2018)
... (written by)


- Long Way Back
(2018)
... (written by)


- Peter Follows P!nk
(2018)
... (written by)


- Most Pro City
(2018)
... (written by)


- You Do You
(2018)
... (written by)





Show all 79 episodes",0,0,keep_year
Fred Armisen,writer-tt0490721,1999,Fred,https://www.imdb.com/title/tt0490721/,0,"1999

Fred
(TV Series) (writer)",1999,0,keep_year
Fred Armisen,producer-tt14440068,,This Fool,https://www.imdb.com/title/tt14440068/,0,"This Fool
(TV Series) (executive producer) (pre-production)",0,0,keep_year
Fred Armisen,producer-tt8594164,2020,Moonbase 8,https://www.imdb.com/title/tt8594164/,6,"2020

Moonbase 8
(TV Series) (executive producer - 6 episodes)


- Beef
(2020)
... (executive producer)


- Move the Base
(2020)
... (executive producer)


- Visitors
(2020)
... (executive producer)


- Quarantine
(2020)
... (executive producer)


- Rats
(2020)
... (executive producer)





Show all 6 episodes",2020,0,keep_year
Fred Armisen,producer-tt4677934,2015-2019,Documentary Now!,https://www.imdb.com/title/tt4677934/,6,"2015-2019

Documentary Now!
(TV Series) (executive producer - 21 episodes)


- Any Given Saturday Afternoon
(2019)
... (executive producer)


- Long Gone
(2019)
... (executive producer)


- Searching for Mr. Larson: A Love Letter from the Far Side
(2019)
... (executive producer)


- Waiting for the Artist
(2019)
... (executive producer)


- Original Cast Album: Co-Op
(2019)
... (executive producer)





Show all 21 episodes",2015,2019,keep_year
Fred Armisen,director-tt1780441,2017,Portlandia,https://www.imdb.com/title/tt1780441/,1,"2017

Portlandia
(TV Series) (1 episode)


- Misunderstood Miracles
(2017)",2017,0,keep_year
Fred Armisen,director-tt0490721,1999,Fred,https://www.imdb.com/title/tt0490721/,0,"1999

Fred
(TV Series)",1999,0,keep_year
Fred Armisen,self-tt4364438,,You Can Color Outside the Lines... the Big Boys,https://www.imdb.com/title/tt4364438/,0,"You Can Color Outside the Lines... the Big Boys
(Documentary) (filming)

Self",0,0,keep_year
Fred Armisen,self-tt3444938,2014-2021,The Tonight Show Starring Jimmy Fallon,https://www.imdb.com/title/tt3444938/,6,"2014-2021

The Tonight Show Starring Jimmy Fallon
(TV Series)

Self / Jessica Pinkus / Ringo Starr

- Kate Beckinsale/Fred Armisen/Leon Bridges
(2021)
... Self


- Chance the Rapper/Fred Armisen/Alan Jackson
(2021)
... Self


- Rachel Maddow/Fred Armisen/Tiwa Savage
(2020)
... Self


- Octavia Spencer/Fred Armisen/YBN Cordae/Anderson.Paak
(2019)
... Self


- Kendall Jenner/Fred Armisen/Florida Georgia Line
(2019)
... Self





Show all 12 episodes",2014,2021,keep_year
Fred Armisen,self-tt0765425,2021,Top Chef,https://www.imdb.com/title/tt0765425/,1,"2021

Top Chef
(TV Series)

Self - Guest Judge

- Portland-ia
(2021)
... Self - Guest Judge",2021,0,keep_year
Fred Armisen,self-tt14556900,2021,Festpocalypse!,https://www.imdb.com/title/tt14556900/,0,"2021

Festpocalypse!
(Video)

Self",2021,0,keep_year
Fred Armisen,self-tt13266354,2020,The Sarah Silverman Podcast,https://www.imdb.com/title/tt13266354/,1,"2020

The Sarah Silverman Podcast
(TV Series)

Self - Guest

- Fred Armisen, Tim Heidecker, John C. Reilly
(2020)
... Self - Guest",2020,0,keep_year
Fred Armisen,self-tt12305028,2020,The At-Home Variety Show,https://www.imdb.com/title/tt12305028/,2,"2020

The At-Home Variety Show
(TV Series short)

Self

- Quarantine: The Musical
(2020)


- Fred Armisen Plans His Alt Travel Show
(2020)
... Self",2020,0,keep_year
Fred Armisen,self-tt11591262,2020,Let's Go Crazy: The Grammy Salute to Prince,https://www.imdb.com/title/tt11591262/,0,"2020

Let's Go Crazy: The Grammy Salute to Prince
(TV Special)

Self",2020,0,keep_year
Fred Armisen,self-tt6396082,2020,Carpool Karaoke,https://www.imdb.com/title/tt6396082/,1,"2020

Carpool Karaoke
(TV Series)

Self

- Fred Armisen & Weezer
(2020)
... Self",2020,0,keep_year
Fred Armisen,self-tt11225428,2019,The Kacey Musgraves Christmas Show,https://www.imdb.com/title/tt11225428/,0,"2019

The Kacey Musgraves Christmas Show
(TV Movie)

Self",2019,0,keep_year
