title,imdb_link,credits_count,snl_alums,cast_count
Weekend Today,https://www.imdb.com/title/tt0291679/,9,"['Kate McKinnon', 'Jimmy Fallon', 'Gilbert Gottfried', 'Bill Murray', 'Julia Louis-Dreyfus', 'Fred Armisen', 'Seth Meyers', 'Tina Fey', 'Bill Hader']",9
The Zoolander Legacy,https://www.imdb.com/title/tt5858366/,3,"['Fred Armisen', 'Kyle Mooney', 'Will Ferrell']",3
Paul Simon at the NY Auto Show,https://www.imdb.com/title/tt5750076/,2,['Fred Armisen'],1
Hollywood Candy,https://www.imdb.com/title/tt9881768/,1,['Fred Armisen'],1
WTF with Marc Maron,https://www.imdb.com/title/tt12058860/,37,"['Laurie Metcalf', 'Molly Shannon', 'Eddie Murphy', 'Chris Rock', 'Mike Myers', 'Will Ferrell', 'Garrett Morris', 'Kevin Nealon', 'Dean Edwards', 'Andy Samberg', 'Jay Mohr', 'Rob Schneider', 'Paul Shaffer', 'Julia Louis-Dreyfus', 'Seth Meyers', 'Bill Hader', 'Norm MacDonald', 'Billy Crystal', 'Jerry Minor', 'Chris Elliott', 'Amy Poehler', 'Al Franken', 'Chris Parnell', 'David Koechner', 'Jim Breuer', 'Kyle Mooney', 'Jimmy Fallon', 'Horatio Sanz', 'Gilbert Gottfried', 'Dan Aykroyd', 'Will Forte', 'Laura Kightlinger', 'Pete Davidson', 'Janeane Garofalo', 'Fred Armisen', 'Michael McKean', 'Dana Carvey']",37
The Meltdown with Jonah and Kumail,https://www.imdb.com/title/tt3842964/,2,"['Fred Armisen', 'David Koechner']",2
AFI Life Achievement Award: A Tribute to Steve Martin,https://www.imdb.com/title/tt4798770/,6,"['Kevin Nealon', 'Dan Aykroyd', 'Maya Rudolph', 'Chevy Chase', 'Fred Armisen', 'Tina Fey']",6
The Damned: Don't You Wish That We Were Dead,https://www.imdb.com/title/tt3512486/,1,['Fred Armisen'],1
73 Questions,https://www.imdb.com/title/tt5220922/,2,"['Fred Armisen', 'Seth Meyers']",2
Saturday Night Live: 40th Anniversary Special,https://www.imdb.com/title/tt3677742/,40,"['Taran Killam', 'Colin Quinn', 'Eddie Murphy', 'Rachel Dratch', 'Chris Rock', 'Mike Myers', 'Will Ferrell', 'Bobby Moynihan', 'Garrett Morris', 'Tom Schiller', 'Kevin Nealon', 'Jim Belushi', 'Andy Samberg', 'Paul Shaffer', 'Darrell Hammond', 'Chevy Chase', 'Joe Piscopo', 'Seth Meyers', 'Norm MacDonald', 'Jon Lovitz', 'Billy Crystal', 'Ellen Cleghorne', 'Vanessa Bayer', 'Leslie Jones', 'Bill Murray', 'Maya Rudolph', 'Jimmy Fallon', 'Dan Aykroyd', 'Will Forte', 'Adam Sandler', 'Jane Curtin', 'Pete Davidson', 'Fred Armisen', 'Tim Meadows', 'Tina Fey', 'Dana Carvey']",36
Inside Joke at Moontower,https://www.imdb.com/title/tt13858722/,12,"['Jay Pharoah', 'Dana Carvey', 'Colin Quinn', 'Leslie Jones', 'Dennis Miller', 'Colin Jost', 'Janeane Garofalo', 'Fred Armisen', 'Bill Hader', 'Luke Null', 'Jon Rudnitsky', 'Andrew Dismukes']",12
Salad Days,https://www.imdb.com/title/tt3905662/,1,['Fred Armisen'],1
Rachael Ray,https://www.imdb.com/title/tt0827947/,20,"['Joan Cusack', 'Taran Killam', 'Colin Quinn', 'Rachel Dratch', 'Chris Rock', 'Chris Kattan', 'Bobby Moynihan', 'Jay Pharoah', 'Jim Belushi', 'Jay Mohr', 'Julia Louis-Dreyfus', 'Seth Meyers', 'Ellen Cleghorne', 'Jimmy Fallon', 'Dennis Miller', 'Adam Sandler', 'Fred Armisen', 'Tim Meadows', 'Tina Fey', 'Michael McKean']",20
The 29th Annual Imagen Awards,https://www.imdb.com/title/tt4712036/,1,['Fred Armisen'],1
2014 Primetime Creative Arts Emmy Awards,https://www.imdb.com/title/tt3970550/,1,['Fred Armisen'],1
Park Bench with Steve Buscemi,https://www.imdb.com/title/tt3915918/,4,"['Janeane Garofalo', 'Fred Armisen', 'Colin Quinn', 'Chris Rock']",4
The Maya Rudolph Show,https://www.imdb.com/title/tt3734148/,5,"['Chris Parnell', 'Fred Armisen', 'Maya Rudolph', 'Andy Samberg']",4
